Title,HeadLine,Instructors,Rating,Tags,Reviews,AddInfo
Python Programming & Software Design For Absolute Beginners,Beginners Guide to Programming and Software Design,Academy of Computing & Artificial Intelligence,4.2,Not Available,-323,"4 total hours
39 lectures
All Levels"
Basics of Artificial Intelligence for beginners (AI),For Beginners: On AI Initiatives,Dr. Dheeraj Mehrotra,3.7,Not Available,-109,"2 total hours
17 lectures
Beginner"
Artificial Intelligence in Digital Marketing,Be Ready For AI In Digital Marketing. You’ll be better prepared and in a better position than 99.9% of other marketers.,Grazi Fernandes,4.1,Not Available,-23,"1 total hour
11 lectures
Beginner"
Artificial Intelligence & Machine Learning from scratch,"Give you a solid background in AI with MACHINE LEARNING, Deep Learning ... step-by-step to algorithms & coding exercises",Dr. Long Nguyen,4.6,Not Available,-28,"7 total hours
28 lectures
All Levels"
Artificial Intelligence (AI) in the Classroom,Understand Artificial Intelligence and teach it to your students!,Alexiei Dingli,4.3,Not Available,-19,"9 total hours
56 lectures
Beginner"
Comprehensive Guide to Artificial Intelligence(AI) for All,"Learn ML, NLP, Deep, Transfer and Reinforcement learning with IBM Watson, Tensorflow Sim, Keras, OpenAI Gym and more",Junaid Ahmed,4.3,Not Available,-20,"11.5 total hours
106 lectures
Beginner"
Artificial Intelligence in Video Creation Certification,Create Powerful Videos at Incredible Speeds With Cloud Based Artificial Intelligence Tools in 2020.,Srinidhi Ranganathan,3.8,Not Available,-473,"1.5 total hours
11 lectures
Beginner"
The Complete Course: Artificial Intelligence From Scratch,"Learn the Essential Concepts of the AI like Neural Networks, Classification, Regression and Optimization Using Python.",Sobhan N.,4.1,Not Available,-31,"14.5 total hours
150 lectures
All Levels"
Artificial Intelligence #5: MLP Networks with Scikit & Keras,Learn how to create Multilayer Perceptron Neural Network by using Scikit learn and Keras Libraries and Python,Sobhan N.,4.5,Not Available,-13,"2.5 total hours
22 lectures
All Levels"
Machine Learning: Build neural networks in 77 lines of code,Machine Learning and Artificial Intelligence for beginners. How to build a neural network in 77 lines of Python code.,Milo Spencer-Harper,4.6,Not Available,-171,"1 total hour
18 lectures
Beginner"
Artificial Intelligence #2: Polynomial & Logistic Regression,Regression techniques for students and professionals. Learn Polynomial & Logistic Regression and code them in python,Sobhan N.,4.1,Not Available,-12,"2 total hours
20 lectures
All Levels"
Artificial Intelligence:Deep Learning in Real World Business,Learn how to deploy deep learning business applications for real world purposes.,"Eduero Academy, Inc.",4.1,Not Available,-71,"3.5 total hours
25 lectures
All Levels"
Artificial Intelligence III - Deep Learning in Java,"Deep learning fundamentals, focusing on convolutional neural networks and recurrent neural networks, LTSM, GRUs",Holczer Balazs,4.4,Not Available,-91,"4 total hours
45 lectures
All Levels"
Digital Voice Cloning using Artificial Intelligence in 2020,Create a digital voice that sounds like you from audio samples using the power of Artificial Intelligence (AI) this Year,"Srinidhi Ranganathan, Saranya Srinidhi",4,Not Available,-125,"36 total mins
8 lectures
Beginner"
Artificial Intelligence- Full course with Deep learning,"learn AI by usage of Deep learning ,create powerful AI for Real-World applications,Compete with AI world",Programming Academy- Learn and Create,3.6,Not Available,-273,"11 total hours
30 lectures
All Levels"
Artificial Intelligence for Simple Games,Learn how to use powerful Deep Reinforcement Learning and Artificial Intelligence tools on examples of AI simple games!,"Jan Warchocki, SuperDataScience Team",4.5,Not Available,-75,"12.5 total hours
119 lectures
Beginner"
Artificial Intelligence: Practical Essentials for Management,"A Manager's Go-to-Guide to Leverage AI at Work (Now, a Book Released Worldwide by Asia's Largest Publisher of IT Books!)",Malay A. Upadhyay,4.3,Not Available,-30,"3 total hours
23 lectures
All Levels"
Deep Learning: Recurrent Neural Networks in Python,"GRU, LSTM, Time Series Forecasting, Stock Predictions, Natural Language Processing (NLP) using Artificial Intelligence",Lazy Programmer Inc.,4.5,Not Available,"-2,823","11.5 total hours
70 lectures
All Levels"
Python: Python Programming for Artificial Intelligence (1),"Learn Python like a Pro! Start with basics to learn Data Science, Machine Learning and Artificial Intelligence - (2020)","DATAI TEAM, Datai Team Academy",4,Not Available,-13,"8.5 total hours
73 lectures
Beginner"
Machine Learning and Artificial Intelligence Using Swift,"Learn Image Classifications, Turi Create, Sound Classification, Regression, Core ML, Create ML, Face Detection and more!",Mohammad Azam,4.6,Not Available,-47,"9 total hours
102 lectures
All Levels"
Beginners Guide to AI (Artificial Intelligence),"Introduction to Artificial Intelligence (AI), also known as Machine Intelligence",Siim Õunap,4.2,Not Available,-35,"1 total hour
6 lectures
Beginner"
Artificial Intelligence Level 2: Rise of the Machines,Explore Artificial Intelligence,"Gilad James, PhD",4.8,Not Available,-7,"2 total hours
23 lectures
Beginner"
Introduction to Artificial Intelligence (AI for All),AI For Everyone,MERAH Nasreddine,4,Not Available,-17,"4.5 total hours
34 lectures
All Levels"
Python: A-Z Artificial Intelligence with Python: 5-in-1,Build real-world Artificial Intelligence applications with Python to intelligently interact with the world around you.,Packt Publishing,3.9,Not Available,-78,"8.5 total hours
130 lectures
Beginner"
Artificial intelligence in Game development- Tic Tac Toe AI,"Artificial intelligence & Javascript 2D Game Development - MinMax algorithm - ""Computer vs You"" Tic Tac Toe AI game",DigiFisk (Programming is fun),4.6,Not Available,-41,"9.5 total hours
86 lectures
All Levels"
Artificial Intelligence (AI) For Digital Marketing,Be Ready For AI In Digital Marketing. You’ll be better prepared and in a better position than 99.9% of other marketers,The Elite Team,4.2,Not Available,-12,"1.5 total hours
24 lectures
Beginner"
Game Devs Unleash Artificial Intelligence: Flocking Agents,Artificial Intelligence for Game Devs in Unity to understand & implement the beautiful bird's natural Flocking Behavior,Razvan Pistolea,4.5,Not Available,-87,"2.5 total hours
27 lectures
Intermediate"
Artificial Intelligence (AI) Tools For Job Seekers,An incredible course that teaches you how to train candidates in Artificial Intelligence (AI) tools for job-search,"Srinidhi Ranganathan, Saranya Srinidhi, First Look Digital Marketing Solutions Pvt. Ltd.",3.8,Not Available,-65,"1 total hour
8 lectures
Beginner"
Artificial Intelligence for beginners: Neural Networks,Neural Networks: Learn the basics of artificial intelligence & master the core concepts. Learn artificial intelligence,Hayley - Creative Mind Ch,3.3,Not Available,-173,"1 total hour
9 lectures
All Levels"
Introduction to Machine Learning For Beginners [A to Z] 2020,Learn to create Machine Learning Algorithms in Python from two Data Science Experts [ Step by Step Guidance ],Academy of Computing & Artificial Intelligence,3.8,Not Available,-31,"7.5 total hours
30 lectures
All Levels"
Artificial Intelligence : The Future Of Programming,Artificial Intelligence,Mukund Kumar Mishra,4.4,Not Available,-20,"1 total hour
19 lectures
Intermediate"
Artificial Intelligence for Civil Engineers: Part 1,Welcome to the Future of Civil Engineering powered by Artificial Intelligence in 2020.,"Srinidhi Ranganathan, Saranya Srinidhi",3.9,Not Available,-207,"1 total hour
9 lectures
Beginner"
Advanced Artificial Intelligence in Digital Marketing Course,Learn Mind-Blowing Artificial Intelligence (AI) Tools for Business and Marketing Automation in 2020,"Srinidhi Ranganathan, Saranya Srinidhi",4.1,Not Available,-75,"2 total hours
11 lectures
Beginner"
Artificial Intelligence Terminology,How much do you know about AI?,Andrew Magdy Kamal,3.8,Not Available,-7,"82 questions
Intermediate"
Easy Filmmaking: Artificial Intelligence in Films & Videos,Make outstanding films and videos by learning the techniques used by professionals while using a free app anyone can use,"Paul Jenkins, Paul Jenkins' Brilliantio",4.1,Not Available,-29,"2 total hours
14 lectures
All Levels"
Learn To Gain Writing Skills Using Artificial Intelligence,Towards Compiling a WOW Content likewise,Dr. Dheeraj Mehrotra,4.1,Not Available,-15,"1 total hour
12 lectures
All Levels"
